,game_date,pts
3782,2004-11-21,98
5838,2005-03-08,93
8091,2006-01-06,113
12127,2007-01-30,99
15399,2008-01-15,105
17181,2008-04-09,109
17923,2008-11-22,122
19463,2009-02-02,117
21138,2009-11-02,117
23579,2010-02-27,109
27555,2011-03-17,120
29681,2012-02-29,120
32986,2013-01-30,113
34229,2013-03-31,108
41985,2015-11-08,99
43793,2016-01-31,95
48426,2017-03-29,88
49012,2018-10-29,115
51006,2019-02-13,111
53016,2019-12-17,143
56592,2021-04-20,109
56610,2021-04-21,137
67382,2005-02-05,106
68272,2005-03-26,96
71427,2006-03-11,109
73682,2007-01-05,111
74535,2007-02-14,101
79095,2008-04-01,115
81336,2009-01-24,110
82016,2009-02-28,115
83869,2009-12-04,114
84393,2009-12-29,104
87842,2010-12-18,102
92555,2012-04-03,104
93892,2012-12-06,112
94344,2012-12-28,105
97778,2013-12-18,107
99846,2014-03-31,92
99998,2014-04-06,91
103818,2015-10-28,122
106563,2016-03-09,128
106695,2016-03-16,85
107565,2016-11-04,117
108361,2016-12-11,118
109139,2017-01-18,117
109759,2017-02-23,104
112200,2018-12-27,96
115446,2020-01-07,87
115569,2020-01-14,102
