,game_date,pts
38966,2014-12-05,119
42414,2015-11-28,82
43718,2016-01-28,113
43891,2016-02-05,106
45797,2016-11-19,111
47175,2017-01-24,123
49520,2018-11-24,124
50902,2019-02-08,119
52570,2019-11-22,125
54389,2020-03-10,122
55305,2021-01-31,149
56199,2021-03-29,132
56208,2021-03-30,104
56688,2021-04-25,119
57142,2021-10-22,135
57383,2021-11-05,115
58399,2022-01-11,122
59482,2022-03-19,127
59852,2022-04-08,92
60063,2022-10-28,117
60327,2022-11-13,102
42690,2015-12-11,105
43353,2016-01-11,114
46564,2016-12-23,96
49015,2018-10-30,95
49982,2018-12-19,118
51154,2019-02-27,125
53003,2019-12-16,133
53703,2020-01-26,133
54869,2021-01-03,123
56646,2021-04-23,129
56889,2021-05-06,131
56955,2021-05-10,124
