,game_date,pts
2,1996-11-16,82
79,1998-04-14,102
207,2001-01-04,95
264,2001-12-22,86
312,2002-03-16,105
427,2003-10-29,83
548,2003-11-05,90
572,2003-11-07,114
734,2003-11-15,94
778,2003-11-19,83
838,2003-11-22,99
973,2003-11-29,79
996,2003-12-01,78
1213,2003-12-13,95
1228,2003-12-14,89
1256,2003-12-16,86
1345,2003-12-20,103
1393,2003-12-23,92
1495,2003-12-30,102
1525,2004-01-02,99
1580,2004-01-04,85
1644,2004-01-08,79
1683,2004-01-10,94
1713,2004-01-12,121
1750,2004-01-14,120
1792,2004-01-16,108
1834,2004-01-19,90
1948,2004-01-24,77
1991,2004-01-27,67
2093,2004-01-31,110
2131,2004-02-03,97
2237,2004-02-08,110
2308,2004-02-17,92
2363,2004-02-20,78
2422,2004-02-22,86
2591,2004-03-03,88
2707,2004-03-09,84
2830,2004-03-16,114
2889,2004-03-19,79
2952,2004-03-22,96
2990,2004-03-24,97
3026,2004-03-26,108
3092,2004-03-29,92
3253,2004-04-07,96
3385,2004-04-14,90
3493,2004-11-06,73
3542,2004-11-09,96
3606,2004-11-12,110
3780,2004-11-21,98
3822,2004-11-23,104
3912,2004-11-27,108
3994,2004-12-01,90
4032,2004-12-03,98
4216,2004-12-12,107
4271,2004-12-15,93
4351,2004-12-19,94
4379,2004-12-21,94
4441,2004-12-26,91
4515,2004-12-29,100
4571,2005-01-01,87
4634,2005-01-04,98
4731,2005-01-09,113
4773,2005-01-11,82
4911,2005-01-17,86
4974,2005-01-21,91
5028,2005-01-23,96
5063,2005-01-25,118
5127,2005-01-28,99
5385,2005-02-09,110
5444,2005-02-13,102
5509,2005-02-16,108
5588,2005-02-24,113
5615,2005-02-26,90
5663,2005-02-28,117
5787,2005-03-06,115
5836,2005-03-08,93
5905,2005-03-13,80
5954,2005-03-15,96
6088,2005-03-21,88
6123,2005-03-23,107
6303,2005-04-01,91
6383,2005-04-05,79
6479,2005-04-08,94
6549,2005-04-12,93
6662,2005-04-17,135
6722,2005-04-20,113
6836,2005-11-04,75
6879,2005-11-06,81
7162,2005-11-20,103
7272,2005-11-26,105
7339,2005-11-30,109
7437,2005-12-04,99
7592,2005-12-12,92
7629,2005-12-14,90
7702,2005-12-17,96
7783,2005-12-21,96
7807,2005-12-23,98
7856,2005-12-26,101
7996,2006-01-02,140
8089,2006-01-06,113
8131,2006-01-08,120
8175,2006-01-11,117
8220,2006-01-13,105
8284,2006-01-16,90
8347,2006-01-19,79
8400,2006-01-21,98
8464,2006-01-25,102
8520,2006-01-27,97
8602,2006-01-31,97
8716,2006-02-05,89
8752,2006-02-07,82
8935,2006-02-15,98
8985,2006-02-22,83
9013,2006-02-24,90
9173,2006-03-03,101
9384,2006-03-13,96
9435,2006-03-15,121
9462,2006-03-17,105
9521,2006-03-19,100
9553,2006-03-21,109
9611,2006-03-24,75
9718,2006-03-29,98
9769,2006-03-31,112
9890,2006-04-05,96
9905,2006-04-07,98
10071,2006-04-14,80
10154,2006-04-17,91
10297,2006-11-04,95
10350,2006-11-06,93
10487,2006-11-13,96
10528,2006-11-15,102
10585,2006-11-18,118
10624,2006-11-20,90
10766,2006-11-25,95
10901,2006-12-02,100
10925,2006-12-04,98
10983,2006-12-06,102
11048,2006-12-09,115
11096,2006-12-11,90
11133,2006-12-13,94
11214,2006-12-16,100
11245,2006-12-18,97
11263,2006-12-20,111
11314,2006-12-22,103
11422,2006-12-27,151
11715,2007-01-10,106
11739,2007-01-12,110
11802,2007-01-15,102
11890,2007-01-19,100
11998,2007-01-24,107
12023,2007-01-26,116
12125,2007-01-30,99
