,Referee,p-value,t statistic,cohen's d
30353,Violet Palmer,0.05925945583792059,-1.8903430138116961,-0.10728424475491823
29426,Mike Callahan,0.06374274104952699,-1.8566497289018975,-0.0849017701613248
16668,JB DeRosa,0.08962435262123049,1.7005194319283554,0.10347699678871378
5213,Joe Forte,0.09797356890170165,1.6587535395041815,0.10816137751003416
15719,Sean Corbin,0.11363674124694352,-1.5838528789091195,-0.0711232853996715
55696,Nick Buchert,0.1247472566021935,-1.5379006918168208,-0.09177053217205947
12550,Michael Smith,0.1334501545365743,-1.5020444731071858,-0.06553684171756434
60818,Gediminas Petraitis,0.15495722236148873,-1.4269264102153172,-0.1299851685964787
18458,Steve Javie,0.17972088568006053,-1.3441374622015319,-0.08824183110981755
49275,Haywoode Workman,0.17999300340100682,1.3427963774001563,0.09151957152515232
