,game_date,pts
36,1997-11-07,92
40,1997-11-15,91
50,1997-12-06,114
68,1998-02-26,110
114,1999-03-14,98
141,2000-01-15,107
277,2002-01-15,91
327,2002-03-29,107
351,2002-11-08,100
466,2003-11-01,85
538,2003-11-05,100
566,2003-11-07,86
640,2003-11-11,105
715,2003-11-15,71
781,2003-11-19,106
963,2003-11-29,69
1163,2003-12-10,91
1177,2003-12-12,91
1251,2003-12-16,91
1412,2003-12-26,84
1492,2003-12-30,73
1539,2004-01-02,97
1584,2004-01-04,94
1677,2004-01-10,94
1719,2004-01-13,80
1809,2004-01-17,99
1854,2004-01-19,93
1945,2004-01-24,107
1984,2004-01-26,83
2011,2004-01-28,100
2064,2004-01-30,105
2095,2004-02-01,100
2159,2004-02-04,101
2196,2004-02-06,112
2360,2004-02-20,87
2407,2004-02-22,85
2489,2004-02-26,95
2521,2004-02-28,110
2561,2004-03-01,111
2599,2004-03-03,84
2689,2004-03-07,86
2704,2004-03-09,87
2794,2004-03-13,102
2863,2004-03-17,114
2875,2004-03-19,94
2932,2004-03-21,81
3124,2004-03-31,99
3193,2004-04-04,112
3308,2004-04-10,98
3399,2004-04-14,78
3515,2004-11-06,106
3576,2004-11-10,106
3655,2004-11-14,113
3711,2004-11-17,110
3832,2004-11-23,102
4001,2004-12-01,95
4035,2004-12-04,95
4141,2004-12-08,105
4151,2004-12-10,106
4204,2004-12-12,88
4282,2004-12-15,93
4468,2004-12-27,106
4526,2004-12-29,105
4587,2005-01-02,104
4631,2005-01-04,112
4673,2005-01-06,107
4714,2005-01-08,117
4803,2005-01-12,104
4865,2005-01-15,108
4990,2005-01-21,118
5077,2005-01-26,117
5166,2005-01-29,97
5223,2005-02-01,96
5297,2005-02-05,112
5321,2005-02-07,108
5382,2005-02-09,95
5397,2005-02-11,94
5633,2005-02-27,108
5691,2005-03-02,101
5735,2005-03-04,90
5941,2005-03-14,95
6054,2005-03-19,96
6267,2005-03-30,102
6371,2005-04-03,76
6402,2005-04-05,108
6496,2005-04-09,106
6535,2005-04-11,119
6559,2005-04-13,93
6596,2005-04-15,119
6671,2005-04-17,106
