,Team,referee_name,Games,Difference,Absolute Difference
2536,NYK,Mark Ayotte,49,7.45774617234518,7.45774617234518
2483,WAS,Gediminas Petraitis,33,6.9291896855223,6.9291896855223
2232,POR,Kevin Scott,39,5.955241471858015,5.955241471858015
1206,LAL,Greg Willard,35,5.93803898326571,5.93803898326571
206,BOS,Jimmy Clark,32,5.602470894751759,5.602470894751759
644,WAS,Steve Javie,31,-5.506602237896301,5.506602237896301
2222,MIL,Kevin Scott,43,5.454769935083585,5.454769935083585
617,DAL,Steve Javie,38,-5.255948603989294,5.255948603989294
2765,LAL,Olandis Poole,32,5.2519498336941535,5.2519498336941535
2293,ORL,Scott Twardoski,37,-5.110032066998099,5.110032066998099
