"X","first_name","last_name","official_id","fgm","fg_pct","fg3m","fg3_pct","ftm","ft_pct","oreb","dreb","reb","ast","stl","blk","tov","pf","pts","num_games","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
2,"Aaron","Smith",1626302,1.10371332569455,0.554498375366958,1.15770681281049,0.438085296557569,-0.604473873664014,0.538783473759502,-0.677940649049857,1.06340841325609,0.818543477118667,1.00149499509906,0.313313394403703,-0.221519213374473,-0.390778646709482,-1.0654226002478,1.04760524964415,648,-4.13873466645763,-0.571462477597877,-0.984161618598812,-0.454984660722181,-0.135702224600006,-0.505588435792407,-0.0207935750048639,0.364523212182249,-0.148711206707487,-0.171851529855835,0.121561352563928,0.0401704962699783,0.0200912763714588,1.08332095311562e-15,-1.3614173137217e-15
3,"Andy","Nagy",1627534,1.33000811378909,0.824531765894387,1.42556418740527,0.492457358982979,-0.751355966028548,0.846816387331936,-0.8212115407398,1.10195990782233,0.773745906177523,1.46375218687006,0.137683630722705,-0.0109533329182545,-0.577064965691156,-1.25485189807894,1.26977422292958,278,-5.32713464997131,-0.414169291781463,-0.873224708869816,-0.0566989600604383,-0.791165597842804,0.0647067801699041,0.586821342897933,0.514440236802677,-0.159534168121961,0.0666023870983056,0.0173013365208674,-0.0469952003868813,-0.0895703642630763,-1.42316244106638e-15,-5.43813048425887e-16
4,"Anthony","Jordan",1169,-1.28364059353699,-0.406150769681391,-1.0563044042055,0.612910595601513,0.466666736921232,-0.282907688625081,0.493509583003204,-1.48514317965182,-1.42757833244624,-0.901920964694314,0.442444467319855,-0.270781462153185,0.753859888012646,0.702617421808481,-1.15207105746606,320,4.65311087103778,-0.3851514239944,-3.34017934914611,-0.974815435333426,-0.772972406538785,-0.0991500107696636,-0.0285780164061441,0.462149555348889,0.373529876970884,0.283532500053241,-0.245785433636337,0.109822787046471,-0.0244034059481537,9.70642070218043e-16,1.65532657251858e-15
5,"Ashley","Moyer-Gleich",1628953,1.20910490593512,0.796957936456029,1.24697427383052,0.512556617978832,-0.397034284684061,0.557060132112331,-1.03547187317857,1.15218784830594,0.698065717792797,1.27018191829037,0.356645388086833,-0.0287321841039714,-0.0058367041866946,-0.808326561807326,1.19624879482361,316,-4.3550190884785,-0.624519280437962,-1.98317002039276,0.251906958045745,0.108508446142161,0.245844567815284,-0.0331505530709406,-0.136466737695882,0.105539880891535,-0.142203125322137,-0.0577850345054081,-0.119803227325165,-0.0245416874238287,-8.98954857508757e-17,4.26904989750923e-16
6,"Ben","Taylor",202049,0.736069304280166,0.546996412272753,0.730908633198535,0.253331345834442,-0.0995602609989947,0.271657987181167,-0.659568003484191,0.639735038745296,0.334486212790505,0.686357548948526,-0.063244169211528,-0.407802826877134,-0.160279498308211,-0.109392535626609,0.74750505238502,1006,-2.10952625181328,0.862970136560349,-0.55860547536925,0.18545762903385,0.54451105897094,-0.133306468014376,-0.231119607448056,-0.178434203435899,-0.148344170152971,0.0888256343546014,0.0508498015674194,-0.0379814598313669,-0.00548376956633809,-5.2812230039048e-17,-1.38384571339423e-15
7,"Bennett","Salvatore",1192,-0.628084732333844,-0.120799972839694,-0.651317505997365,0.19122016335817,0.501050135217896,-0.148563039697635,0.21046392543721,-0.755212422653081,-0.751345566632047,-0.545497447730675,-0.147423143274196,-0.5048904643356,0.0915783079441618,0.504921057572203,-0.559235647734057,1306,2.81672333942799,1.12360485301802,-0.508628495296098,-0.33146695742567,0.0988356247587991,-0.356727254169256,0.0583499970511693,0.182087828604339,-0.00370019120153223,-0.0396804126637207,-0.106530058231592,-0.0534710642298658,0.0187119293080248,-1.8177275912617e-15,-3.51994036746121e-16
8,"Bennie","Adams",1363,-0.497651206935797,-0.27240634182432,-0.436174669971811,0.0237227059771528,-0.113696132568412,-0.200388286725106,0.0932321500225134,-0.367793982994405,-0.371724142945053,-0.498169407283982,-0.115472752416582,-0.197252285097196,0.0315407193085262,0.181927257176898,-0.520992571032817,1834,2.08913095414876,-0.191335903109848,0.697618611725992,-0.436030577544321,0.26294820270771,0.0454023617100916,-0.265398594429137,0.0365910834494366,0.0549739127730577,0.216069603577872,-0.0282306275301057,0.0559332257553395,0.00254251858342489,-1.81598578869062e-15,-1.30577939094225e-15
9,"Bernie","Fryer",1163,-0.822521831925439,0.0248142364610209,-0.932501766785868,0.410523857992168,0.643409955967382,-0.614653470091564,0.794163476675664,-1.17241783213781,-0.873133663196436,-0.603810964001232,0.452647223340082,-0.371916999553984,0.50846812150525,0.719983637794436,-0.767277633311723,426,4.04583899051267,-0.146523553177885,-2.52921871551651,-0.602806405912615,0.00520996761096048,-0.775048324887339,-0.0472855695554358,-0.503358382899477,-0.977193654159966,-0.111171688625928,-0.0130291869413774,-0.088185079627305,-0.14157480754705,-1.65283465235855e-15,2.53214655965238e-16
10,"Bill","Kennedy",1662,-0.186853971594457,0.107375820616135,-0.215556670156071,0.250263052729498,-0.0296448896148166,-0.00991921444927224,-0.088331017918569,-0.319030500383402,-0.428602156296281,-0.22466432510109,-0.239393903911694,-0.281748896226676,0.151918227515785,-0.0895005609782667,-0.21374223490226,2178,1.03910120683793,0.537216833117103,-0.386801597120184,-0.427323619692155,-0.258615084012763,0.550888781923138,-0.218750259566381,0.16954240495231,-0.0624178883390968,-0.121656255880838,-0.0106115000731733,-0.0484648862074562,0.00470774293403943,-7.74477644178145e-16,1.69360312262302e-15
12,"Bill","Spooner",1194,-0.328180849901076,0.0565805533420804,-0.505523750556562,0.166298295142605,-0.0872735447058572,-0.184841700205595,0.222430190461999,-0.589963424453524,-0.55054032241549,-0.407336931715821,-0.0313560627419755,-0.1404269227356,0.247320532784435,-0.188768052608697,-0.434325975025879,1452,1.86499927108585,-0.305536363765024,-0.286109573589689,-0.691920877874721,-0.07327176004544,0.579790920190638,0.0753257075327111,-0.0356198288379418,-0.428591325199003,-0.192500297334269,0.0234303063300246,-0.0502714391264928,0.0275587370582501,8.25110311104293e-17,5.27789937282709e-16
14,"Blane","Reichelt",1186,-1.12768137590924,-0.918329277538846,-1.01596338879914,0.24656663072405,0.674941246050924,0.0789548393308227,1.15877761602099,-0.962264937652443,-0.398540787983992,-1.07695431766854,0.513095765685734,-0.255567591698042,-0.298379100201155,0.518296028321093,-0.990504406557613,252,4.0283844361099,-0.928773426107738,-0.571699723293224,-0.230953005878058,-0.454934799638761,-2.4636032674099,0.837805227501154,1.5164012277783,0.277392237944093,-0.0678897514752856,0.309516686635212,0.102834315315253,0.0825098660358419,-1.20849197990585e-15,5.15128175520226e-16
15,"Bob","Delaney",1154,-0.848114439829525,-0.268467000162636,-0.878300667908687,0.0739202125847056,0.351593368796146,-0.24603576212972,0.456770552428063,-0.884887290813888,-0.748490264953642,-0.980694972848195,-0.397399081947364,-0.150835182181846,0.527211353042371,0.537509913976078,-0.824789231319217,992,3.88533674561934,0.391348352551201,0.101236885754454,0.163417560941074,0.0500356273287876,0.885305479880285,-0.340254898132832,0.290802874452313,-0.074885914509667,-0.215121957525803,0.212842370573426,-0.0454803894839918,-0.0297173752310314,8.71795054690107e-16,6.38057996226547e-16
16,"Brandon","Adair",1627961,1.20827986710767,0.37594606147935,1.26625723671431,0.07212477893977,-0.953823787173314,0.466746817788625,-0.639657961727861,1.44409172902776,1.28786112826728,1.0723651533014,-0.0689772281173846,-0.0564851547804322,-1.0147076651827,-1.21666113218439,1.08337563879307,442,-4.67736508406534,-0.719837387114807,1.9017762201977,-0.128343765803201,-0.108347181128203,-0.72401999590734,-0.0623821973028111,0.159255706225409,-0.337179000526342,0.0370530751034052,0.119196979629674,0.0395691056685953,-0.0149530980865355,-1.46785615540079e-15,8.51104455892935e-16
17,"Brandon","Schwab",1628171,1.26264114882732,0.539103065007385,1.28393099478086,0.0299627809646873,-0.632996902949854,0.612447028042328,-0.287457238365503,1.10762390962155,1.1152650354324,1.24597821124065,0.419783906980556,0.774760620203077,-0.179222670949882,-1.14042086413275,1.19471321611366,188,-4.04527478053088,-2.99112874095143,0.499657673671939,1.41912261328646,0.521315808166607,0.634555524816387,1.0166069826673,0.0281859185453991,-0.640992207849264,-0.240728488080485,0.132320154995389,0.121826595645689,-0.0428475536448134,9.8780488897316e-16,-1.5881846465354e-16
