,score_difference
1700,16
954,13
1677,12
1699,12
1587,12
1704,11
334,-11
1702,11
1674,10
1673,10
1580,10
427,-10
1539,9
1680,9
433,-9
632,-9
1691,9
1498,9
436,-9
1675,9
1537,9
1561,9
1652,9
1328,9
310,8
1514,8
1611,8
1626,8
423,-8
584,-8
424,-8
1609,8
837,-8
333,-8
1576,8
293,-8
394,-8
1683,8
274,-8
1724,8
1706,8
1679,8
60,-8
1417,8
1650,7
282,-7
425,-7
893,-7
1303,7
1208,7
1943,-7
1302,7
1595,7
1634,7
1603,7
348,-7
1684,7
1698,7
1604,7
88,-7
1482,7
1594,7
659,-7
1613,7
712,-7
1461,7
1601,7
292,-7
1697,7
448,-7
558,-7
621,-7
1937,-7
346,-7
1575,7
848,-7
241,-7
722,-7
1504,7
750,-7
273,-7
148,-7
1685,7
1612,7
54,7
347,-7
618,-7
337,-7
1556,7
1324,7
1296,7
86,-7
1689,6
1529,6
664,-6
1573,6
434,-6
1615,6
1923,-6
891,-6
81,-6
453,-6
566,-6
279,-6
1224,6
1380,6
285,-6
645,-6
1607,6
268,-6
1493,6
344,-6
1917,-6
1703,6
838,-6
1467,6
1455,6
415,-6
339,-6
1241,6
1526,6
946,-6
571,-6
37,6
1564,6
512,-6
1927,-6
430,-6
1318,6
1384,6
934,-6
1333,6
1502,6
1048,-6
1510,6
71,-6
331,-6
286,-6
1394,6
129,-6
1000,-6
1574,6
266,-6
1382,6
1602,6
1623,6
569,-6
1936,-6
1396,6
308,6
447,-6
669,-6
183,-6
644,-6
452,-6
1676,6
135,-6
216,-6
830,-6
1503,6
1407,6
126,-6
1678,6
443,-6
643,-6
1217,6
562,-6
1341,6
393,-6
1512,6
499,-6
1705,6
1608,6
633,-6
630,-6
890,-5
330,-5
1329,5
1550,5
953,-5
992,-5
1597,5
1629,5
1012,-5
1696,5
1011,-5
635,-5
336,-5
1518,5
1590,5
214,-5
290,-5
238,-5
1695,5
603,-5
655,-5
1420,5
482,-5
1379,5
1524,5
283,-5
291,-5
1589,5
1424,5
325,-5
582,-5
408,-5
637,-5
1865,5
1385,5
1966,5
272,-5
1520,5
1405,5
1572,5
1599,5
474,-5
246,-5
998,-5
83,-5
514,5
1319,5
1605,5
243,-5
1316,5
1631,-5
1297,5
1266,5
1215,5
1530,5
836,-5
1557,5
1598,5
1411,5
1310,5
460,-5
461,-5
1783,-5
619,-5
349,-5
139,-5
1593,5
322,5
294,-5
257,-5
245,-5
69,-5
1226,5
459,-5
1326,5
853,-5
1669,5
255,-5
623,-5
466,-5
647,-5
1907,5
1410,5
1764,-5
600,-5
1579,5
765,-5
628,-5
625,-5
327,-5
1666,5
895,-5
657,-5
702,5
248,-5
1552,5
1453,5
1488,5
709,-5
1198,5
1662,5
429,-5
404,-5
1047,-5
724,-5
323,-5
1523,5
506,-5
851,-5
671,-5
256,-5
626,-5
668,-5
1406,5
1934,-5
639,-5
631,-5
1463,5
300,5
1440,5
1693,5
815,5
986,-5
1648,5
1308,4
870,-4
1627,4
572,-4
70,-4
1353,4
1471,4
1312,4
616,-4
464,-4
929,-4
240,-4
63,-4
244,-4
271,-4
1527,4
270,-4
608,-4
559,-4
0,4
885,-4
76,-4
1412,4
560,-4
1840,4
312,4
1811,-4
581,-4
446,-4
350,-4
649,-4
1063,-4
754,-4
1940,-4
1768,-4
75,-4
1457,4
905,-4
144,-4
834,-4
1670,4
521,-4
1823,-4
1688,4
1645,4
315,4
513,-4
1400,4
1687,4
1516,4
761,-4
90,4
1566,4
1947,-4
1867,4
373,4
832,-4
1586,4
1617,4
824,-4
1960,4
640,-4
217,-4
463,-4
1905,4
1317,4
1422,4
748,-4
1206,4
886,-4
577,-4
1429,4
1445,4
353,-4
1339,4
221,-4
1280,4
68,-4
525,-4
1200,4
943,-4
1883,4
17,4
275,-4
1323,4
398,-4
263,-4
1403,4
615,-4
999,-4
1485,4
1949,-4
1810,-4
229,-4
1511,4
1665,4
252,-4
829,-4
1551,4
1646,4
305,4
852,-4
1421,4
762,-4
26,4
421,-4
1331,4
937,-4
435,-4
1962,4
1046,4
151,4
665,-4
321,4
1655,4
1505,4
1690,4
1664,4
935,-4
568,-4
697,4
1592,4
1075,-4
1284,4
1644,4
1286,4
1821,-4
1654,4
1785,4
1444,4
31,4
73,-4
357,-4
456,-4
1535,4
1882,4
1939,-4
579,-4
406,-4
355,-4
451,-4
1392,4
1692,4
1643,4
409,-4
1953,4
595,-4
996,-4
1408,4
1456,4
578,-4
1343,4
1942,-4
949,-4
1446,4
1922,-4
1926,4
563,-4
329,-4
359,4
650,-4
138,4
318,4
1409,4
253,-4
251,-4
400,-4
1265,4
1817,-4
1397,4
519,-4
431,-4
604,-4
438,-4
994,-4
40,4
397,-4
727,-4
801,-4
763,-4
987,-4
747,-4
950,-4
24,4
889,-4
134,-4
1377,4
1299,4
196,-4
1345,-4
426,-4
320,4
1771,4
1640,4
127,-4
510,-4
1945,-4
236,-4
237,-4
1628,4
1258,4
1227,4
1001,-4
850,-4
258,-4
465,-4
1426,4
758,-3
301,3
1490,3
1254,3
12,3
298,3
1596,3
1056,-3
1499,3
1263,3
74,-3
324,-3
842,-3
1632,3
13,3
652,-3
1541,3
670,3
869,3
46,3
1427,3
720,-3
1578,3
1016,-3
169,3
1474,3
420,-3
449,-3
1381,3
1542,3
1979,3
1509,3
708,-3
1816,-3
1484,3
1360,3
201,3
1413,3
230,-3
395,-3
422,-3
858,3
641,-3
941,-3
1218,3
122,-3
742,-3
1710,-3
1622,3
1256,3
927,-3
737,-3
1533,3
1950,3
23,-3
839,3
1442,3
751,-3
1657,3
215,-3
1915,-3
1222,3
636,-3
921,3
1559,3
254,-3
140,-3
1911,3
1395,3
1500,3
78,-3
1606,3
1525,3
1682,3
1285,3
658,-3
752,-3
342,-3
1725,3
207,3
72,-3
335,-3
225,-3
518,-3
1723,-3
1799,-3
1049,-3
80,-3
67,-3
247,-3
1639,3
1368,3
1236,3
594,-3
61,-3
187,3
1637,3
1378,3
590,-3
1387,3
1822,3
1929,-3
49,3
1976,3
249,-3
276,-3
1800,-3
505,-3
795,-3
648,-3
564,-3
1581,3
326,-3
738,-3
1014,-3
1750,-3
442,-3
746,-3
479,-3
704,3
1681,3
450,-3
306,-3
847,-3
1868,3
119,3
926,-3
1009,-3
1007,-3
1886,3
1097,3
128,-3
1616,3
674,-3
930,-3
1006,-3
520,-3
1743,3
62,-3
807,-3
1571,3
402,-3
1857,3
523,-3
755,-3
1555,3
576,-3
661,-3
940,-3
1515,3
673,-3
1642,3
418,-3
1430,3
676,-3
1925,-3
1068,-3
764,-3
28,3
1796,-3
501,-3
599,-3
224,-3
277,-3
1806,-3
1300,3
1372,3
1568,3
1204,3
1260,3
1751,-3
1459,3
1171,-3
735,-3
545,-3
332,-3
1582,-3
490,-3
734,-3
125,-3
82,-3
841,-3
66,-3
439,-3
1877,3
7,3
1569,3
1659,3
690,3
1305,3
1272,3
504,-3
863,-3
228,-3
14,3
1870,3
